brand,model,year_from,year_to,part,condition,part_min_lkr,part_max_lkr,labour_min_lkr,labour_max_lkr,source_name,source_type,notes
Toyota,Aqua,2012,2021,front bumper,used/reconditioned,35000,75000,15000,30000,ikman/eParts/public listings,market_reference,Part range based on Sri Lankan public listings; labour is fitting and paint estimate
Toyota,Aqua,2012,2021,rear bumper,used/reconditioned,28000,55000,15000,30000,ikman/eParts/public listings,market_reference,Rear bumper replacement or repair range
Toyota,Aqua,2012,2021,headlight/front lamp,used/reconditioned,50000,105000,8000,15000,ikman public listings,market_reference,Headlight prices vary by trim and LED/xenon type
Toyota,Aqua,2012,2021,rear lamp/light,used/reconditioned,32000,85000,8000,15000,ikman public listings,market_reference,Tail lamp prices vary by side and condition
Toyota,Aqua,2012,2021,windshield,new/replacement,65500,80000,10000,20000,ikman/eParts/windscreen suppliers,market_reference,Windscreen price plus fitting estimate
Toyota,Aqua,2012,2021,hood/front shell,used/reconditioned,35000,65000,20000,40000,public market reference,market_reference,Bonnet or front shell part with paint labour
Toyota,Aqua,2012,2021,tailgate,used/reconditioned,70000,150000,25000,50000,public market reference,market_reference,Tailgate or dicky door cost varies by glass and garnish
Toyota,Aqua,2012,2021,fender/body panel,used/reconditioned,15000,35000,15000,35000,public market reference,market_reference,Fender or small body panel with repair/paint
Toyota,Aqua,2012,2021,front body panel,repair/paint,25000,70000,25000,60000,garage labour estimate,labour_reference,Panel beating and paint estimate
Toyota,Aqua,2012,2021,rear body panel,repair/paint,25000,70000,25000,60000,garage labour estimate,labour_reference,Rear panel repair and paint estimate
Toyota,Aqua,2012,2021,wheel/tire,used/new,15000,35000,3000,8000,ikman tyre/public listings,market_reference,Tyre or wheel check/replacement range

Honda,Vezel,2014,2021,front bumper,used/reconditioned,16000,68000,20000,40000,ikman public listings,market_reference,Vezel buffer/lip and bumper-related listings; full bumper may vary
Honda,Vezel,2014,2021,rear bumper,used/reconditioned,40000,68000,20000,40000,ikman/public listings,market_reference,Rear bumper and related bumper light area
Honda,Vezel,2014,2021,headlight/front lamp,used/reconditioned,75000,100000,8000,15000,ikman public listings,market_reference,Vezel head light listings show high variation
Honda,Vezel,2014,2021,rear lamp/light,used/reconditioned,11000,23000,8000,15000,ikman/Riyasewana public listings,market_reference,Tail lamp/dicky light range
Honda,Vezel,2014,2021,windshield,new/replacement,80000,120000,12000,25000,windscreen suppliers/public market,market_reference,Windscreen estimate for SUV/hybrid class
Honda,Vezel,2014,2021,hood/front shell,used/reconditioned,32000,35000,25000,45000,Riyasewana/public listings,market_reference,Bonnet/hood range plus paint labour
Honda,Vezel,2014,2021,tailgate,used/reconditioned,45000,225000,30000,60000,ikman/Riyasewana public listings,market_reference,Dickey/tailgate varies heavily by glass and trim
Honda,Vezel,2014,2021,fender/body panel,used/reconditioned,20000,45000,18000,40000,public market reference,market_reference,Fender/body panel estimate
Honda,Vezel,2014,2021,front body panel,repair/paint,35000,90000,30000,70000,garage labour estimate,labour_reference,Front panel repair and paint estimate
